Country,2004,2014,Difference
AFGHANISTAN,..,..,
ALBANIA,645,"3,673",469.4573643
ALGERIA,"1,234","2,301",86.46677472
AMERICAN SAMOA,..,21.6,
ANDORRA,"2,791","2,363",-15.33500537
ANGOLA,194,595,206.7010309
ANGUILLA,54,71,31.48148148
ANTIGUA AND BARBUDA,246,249,1.219512195
ARGENTINA,"3,457","5,931",71.5649407
ARMENIA,263,"1,204",357.7946768
ARUBA,728,"1,072",47.25274725
AUSTRALIA,"5,215","6,868",31.6970278
AUSTRIA,"19,374","25,291",30.54093114
AZERBAIJAN,"1,279","2,298",79.67161845
BAHAMAS,"1,561","1,427",-8.584240871
BAHRAIN,"5,667","10,452",84.43620963
BANGLADESH,271,125,-53.87453875
BARBADOS,552,521,-5.615942029
BELARUS,239,973,307.1129707
BELGIUM,"6,710","7,887",17.54098361
BELIZE,231,321,38.96103896
BENIN,174,242,39.08045977
BERMUDA,272,224,-17.64705882
BHUTAN,9,134,1388.888889
"BOLIVIA, PLURINATIONAL STATE OF",480,871,81.45833333
BONAIRE,63,..,
BOSNIA AND HERZEGOVINA,190,536,182.1052632
BOTSWANA,"1,523",..,
BRAZIL,"4,794","6,430",34.12599082
BRITISH VIRGIN ISLANDS,304,386,26.97368421
BRUNEI DARUSSALAM,119,201,68.90756303
BULGARIA,"4,630","7,311",57.9049676
BURKINA FASO,222,191,-13.96396396
BURUNDI,133,..,
CABO VERDE,157,494,214.6496815
CAMBODIA,"1,055","4,503",326.8246445
CAMEROON,..,..,
CANADA,"19,145","16,537",-13.62235571
CAYMAN ISLANDS,260,383,47.30769231
CENTRAL AFRICAN REPUBLIC,8,..,
CHAD,..,122,
CHILE,"1,785","3,674",105.8263305
CHINA,"41,761","55,622",33.191255
COLOMBIA,840,"4,193",399.1666667
COMOROS,23,..,
CONGO,..,373,
"CONGO, DEMOCRATIC REPUBLIC OF",36,..,
COOK ISLANDS,83,121,45.78313253
COSTA RICA,"1,453","2,527",73.91603579
COTE D'IVOIRE,..,471,
CROATIA,"7,912","11,623",46.90343782
CUBA,"2,017","2,970",47.2483887
CURAÇAO,223,452,102.690583
CYPRUS,"2,349","2,441",3.916560238
CZECH REPUBLIC,"9,047","10,617",17.35381895
DENMARK,"4,421","10,267",132.2325266
DJIBOUTI,26,..,
DOMINICA,80,81,1.25
DOMINICAN REPUBLIC,"3,450","5,141",49.01449275
ECUADOR,819,"1,557",90.10989011
EGYPT,"7,795","9,628",23.51507377
EL SALVADOR,951,"1,345",41.43007361
EQUATORIAL GUINEA,..,..,
ERITREA,87,..,
ESTONIA,"1,750","2,918",66.74285714
ETHIOPIA,184,770,318.4782609
FIJI,504,693,37.5
FINLAND,"2,083","2,731",31.10897744
FRANCE,"74,433","83,767",12.54013677
FRENCH GUIANA,..,185,
